ingredient,count,used %,effects,main effect
cananga-odorata-flower-oil,921,1.2,['perfuming'],perfuming
oryza-sativa-bran-oil,918,1.19,"['antioxidant', 'emollient']",antioxidant
methyl-gluceth-20,918,1.19,['moisturizer/humectant'],moisturizer/humectant
propolis-extract,915,1.19,[''],
ppg-26-buteth-26,912,1.18,[''],
ginkgo-biloba-leaf-extract,911,1.18,[''],
houttuynia-cordata-extract,905,1.18,"['antioxidant', 'soothing']",antioxidant
sodium-lauroyl-lactylate,903,1.17,['emulsifying'],emulsifying
polyacrylate-13,902,1.17,[''],
tapioca-starch,901,1.17,['viscosity controlling'],viscosity controlling
phytic-acid,901,1.17,['chelating'],chelating
equisetum-arvense-extract,896,1.16,"['soothing', 'emollient']",soothing
diisostearyl-malate,893,1.16,"['emollient', 'surfactant/cleansing']",emollient
sodium-methyl-cocoyl-taurate,891,1.16,['surfactant/cleansing'],surfactant/cleansing
glutathione,891,1.16,[''],
hydrogenated-vegetable-oil,891,1.16,['emollient'],emollient
phenylalanine,889,1.15,['skin-identical ingredient'],skin-identical ingredient
mannitol,887,1.15,['moisturizer/humectant'],moisturizer/humectant
carica-papaya-fruit-extract,884,1.15,[''],
cellulose,884,1.15,['viscosity controlling'],viscosity controlling
sodium-lauroyl-sarcosinate,882,1.15,"['surfactant/cleansing', 'emulsifying', 'viscosity controlling']",surfactant/cleansing
palmitoyl-hexapeptide-12,880,1.14,['cell-communicating ingredient'],cell-communicating ingredient
isoleucine,879,1.14,['skin-identical ingredient'],skin-identical ingredient
hippophae-rhamnoides-fruit-oil,877,1.14,"['antioxidant', 'emollient']",antioxidant
vitis-vinifera-seed-extract,876,1.14,"['antioxidant', 'antimicrobial/antibacterial']",antioxidant
macadamia-integrifolia-seed-oil,876,1.14,['emollient'],emollient
borago-officinalis-seed-oil,875,1.14,"['soothing', 'emollient']",soothing
mangifera-indica-seed-oil,874,1.14,['emollient'],emollient
squalene,869,1.13,"['skin-identical ingredient', 'antioxidant', 'emollient']",skin-identical ingredient
lonicera-japonica-flower-extract,867,1.13,"['soothing', 'antimicrobial/antibacterial']",soothing
polyquaternium-51,867,1.13,['moisturizer/humectant'],moisturizer/humectant
hydrolyzed-sodium-hyaluronate,862,1.12,['moisturizer/humectant'],moisturizer/humectant
pvp,861,1.12,['viscosity controlling'],viscosity controlling
sodium-acrylates-copolymer,857,1.11,['viscosity controlling'],viscosity controlling
charcoal-powder,855,1.11,['abrasive/scrub'],abrasive/scrub
imidazolidinyl-urea,852,1.11,['preservative'],preservative
algin,851,1.11,['viscosity controlling'],viscosity controlling
asiaticoside,850,1.1,"['antioxidant', 'perfuming']",antioxidant
vaccinium-myrtillus-fruit-extract,846,1.1,[''],
carrageenan,845,1.1,['viscosity controlling'],viscosity controlling
tribehenin,843,1.09,['emollient'],emollient
levulinic-acid,836,1.09,['perfuming'],perfuming
trideceth-6,835,1.08,"['emulsifying', 'surfactant/cleansing']",emulsifying
palmitoyl-tripeptide-5,832,1.08,['cell-communicating ingredient'],cell-communicating ingredient
melia-azadirachta-flower-extract,826,1.07,[''],
euterpe-oleracea-fruit-extract,822,1.07,[''],
methylene-bis-benzotriazolyl-tetramethylbutylphenol,815,1.06,['sunscreen'],sunscreen
steareth-21,813,1.06,"['emulsifying', 'surfactant/cleansing']",emulsifying
salvia-officinalis-leaf-extract,795,1.03,['surfactant/cleansing'],surfactant/cleansing
pelargonium-graveolens-oil,792,1.03,['perfuming'],perfuming
myristyl-myristate,792,1.03,['emollient'],emollient
hydroxyethyl-urea,788,1.02,['moisturizer/humectant'],moisturizer/humectant
benzophenone-3,787,1.02,['sunscreen'],sunscreen
arnica-montana-flower-extract,784,1.02,['perfuming'],perfuming
triticum-vulgare-germ-oil,782,1.02,"['emollient', 'moisturizer/humectant']",emollient
polygonum-cuspidatum-root-extract,781,1.01,['antioxidant'],antioxidant
dibutyl-adipate,779,1.01,"['emollient', 'solvent']",emollient
ci-16035,777,1.01,['colorant'],colorant
vegetable-oil,777,1.01,['emollient'],emollient
anthemis-nobilis-flower-oil,774,1.01,"['soothing', 'perfuming']",soothing
acer-saccharum-extract,772,1.0,[''],
moringa-oleifera-seed-oil,768,1.0,['emollient'],emollient
calcium-gluconate,768,1.0,['moisturizer/humectant'],moisturizer/humectant
fructose,765,0.99,['moisturizer/humectant'],moisturizer/humectant
bis-peg-18-methyl-ether-dimethyl-silane,763,0.99,"['emollient', 'moisturizer/humectant', 'surfactant/cleansing']",emollient
magnesium-chloride,758,0.98,['viscosity controlling'],viscosity controlling
isoamyl-laurate,756,0.98,['emollient'],emollient
styrene-acrylates-copolymer,756,0.98,[''],
steareth-2,754,0.98,"['emulsifying', 'surfactant/cleansing']",emulsifying
corallina-officinalis-extract,753,0.98,[''],
sodium-cocoamphoacetate,753,0.98,['surfactant/cleansing'],surfactant/cleansing
benzophenone-4,752,0.98,['sunscreen'],sunscreen
diglycerin,752,0.98,"['skin-identical ingredient', 'moisturizer/humectant']",skin-identical ingredient
lysine,751,0.98,[''],
oryza-sativa-bran-extract,749,0.97,[''],
ocimum-sanctum-leaf-extract,746,0.97,[''],
t-butyl-alcohol,744,0.97,"['perfuming', 'solvent']",perfuming
soluble-collagen,743,0.96,['moisturizer/humectant'],moisturizer/humectant
butylparaben,742,0.96,['preservative'],preservative
ci-77007,737,0.96,['colorant'],colorant
butyloctyl-salicylate,737,0.96,['solvent'],solvent
cocos-nucifera-fruit-extract,735,0.95,['emollient'],emollient
hydrogenated-starch-hydrolysate,733,0.95,['moisturizer/humectant'],moisturizer/humectant
paraffin,725,0.94,"['viscosity controlling', 'perfuming']",viscosity controlling
terminalia-ferdinandiana-fruit-extract,724,0.94,"['antioxidant', 'skin brightening']",antioxidant
palmitoyl-pentapeptide-4,723,0.94,['cell-communicating ingredient'],cell-communicating ingredient
oryza-sativa-extract,723,0.94,['abrasive/scrub'],abrasive/scrub
cetearyl-ethylhexanoate,721,0.94,['emollient'],emollient
hydroxyisohexyl-3-cyclohexene-carboxaldehyde,721,0.94,['perfuming'],perfuming
pantolactone,719,0.93,['moisturizer/humectant'],moisturizer/humectant
punica-granatum-fruit-extract,718,0.93,[''],
citrus-aurantium-dulcis-oil,717,0.93,['perfuming'],perfuming
pogostemon-cablin-leaf-oil,716,0.93,['perfuming'],perfuming
beta-carotene,714,0.93,[''],
daucus-carota-sativa-root-extract,711,0.92,"['antioxidant', 'emollient']",antioxidant
inositol,711,0.92,['moisturizer/humectant'],moisturizer/humectant
sodium-c14-16-olefin-sulfonate,706,0.92,['surfactant/cleansing'],surfactant/cleansing
arbutin,705,0.92,"['antioxidant', 'skin brightening']",antioxidant
fructooligosaccharides,701,0.91,['moisturizer/humectant'],moisturizer/humectant
coco-betaine,698,0.91,"['surfactant/cleansing', 'viscosity controlling']",surfactant/cleansing
citrus-grandis-peel-oil,697,0.91,['perfuming'],perfuming
hibiscus-sabdariffa-flower-extract,696,0.9,[''],
laureth-4,691,0.9,"['emulsifying', 'surfactant/cleansing']",emulsifying
methicone,690,0.9,['emollient'],emollient
paeonia-suffruticosa-root-extract,688,0.89,[''],
hydroxypropyl-cyclodextrin,684,0.89,[''],
lauroyl-lysine,683,0.89,['viscosity controlling'],viscosity controlling
acetyl-glucosamine,682,0.89,"['skin-identical ingredient', 'skin brightening']",skin-identical ingredient
disodium-laureth-sulfosuccinate,678,0.88,['surfactant/cleansing'],surfactant/cleansing
lavandula-angustifolia-extract,673,0.87,[''],
p-anisic-acid,673,0.87,['preservative'],preservative
linum-usitatissimum-seed-oil,672,0.87,"['emollient', 'perfuming']",emollient
copper-tripeptide-1,671,0.87,"['cell-communicating ingredient', 'soothing', 'antioxidant']",cell-communicating ingredient
cocamide-mea,671,0.87,"['surfactant/cleansing', 'viscosity controlling', 'emulsifying']",surfactant/cleansing
euphorbia-cerifera-cera,670,0.87,"['perfuming', 'viscosity controlling']",perfuming
ferulic-acid,669,0.87,"['antioxidant', 'antimicrobial/antibacterial']",antioxidant
amyl-cinnamal,667,0.87,['perfuming'],perfuming
olea-europaea-leaf-extract,664,0.86,['perfuming'],perfuming
peg-40-stearate,663,0.86,"['emulsifying', 'surfactant/cleansing']",emulsifying
triethyl-citrate,662,0.86,['perfuming'],perfuming
calendula-officinalis-extract,657,0.85,"['soothing', 'antioxidant']",soothing
sodium-lauryl-sulfate,656,0.85,"['surfactant/cleansing', 'emulsifying']",surfactant/cleansing
madecassic-acid,655,0.85,[''],
peg-ppg-18-18-dimethicone,655,0.85,['emulsifying'],emulsifying
asiatic-acid,654,0.85,[''],
punica-granatum-extract,651,0.85,[''],
hamamelis-virginiana-leaf-extract,650,0.84,"['soothing', 'antimicrobial/antibacterial']",soothing
hydrolyzed-keratin,647,0.84,['moisturizer/humectant'],moisturizer/humectant
glycine-soja-seed-extract,647,0.84,"['antioxidant', 'skin brightening', 'soothing', 'emollient']",antioxidant
sodium-cetearyl-sulfate,646,0.84,['surfactant/cleansing'],surfactant/cleansing
behentrimonium-methosulfate,646,0.84,['surfactant/cleansing'],surfactant/cleansing
beta-sitosterol,645,0.84,[''],
melaleuca-alternifolia-leaf-extract,643,0.84,"['antimicrobial/antibacterial', 'perfuming']",antimicrobial/antibacterial
pentaerythrityl-tetraethylhexanoate,643,0.84,"['emollient', 'viscosity controlling']",emollient
vinyl-dimethicone-methicone-silsesquioxane-crosspolymer,643,0.84,['viscosity controlling'],viscosity controlling
laminaria-digitata-extract,642,0.83,[''],
chlorella-vulgaris-extract,642,0.83,[''],
vaccinium-angustifolium-fruit-extract,640,0.83,['soothing'],soothing
rubus-idaeus-fruit-extract,639,0.83,"['antioxidant', 'soothing']",antioxidant
boron-nitride,639,0.83,[''],
vanilla-planifolia-fruit-extract,638,0.83,[''],
achillea-millefolium-extract,637,0.83,"['soothing', 'surfactant/cleansing']",soothing
isostearic-acid,636,0.83,"['surfactant/cleansing', 'emulsifying']",surfactant/cleansing
hydrated-silica,635,0.82,"['abrasive/scrub', 'viscosity controlling']",abrasive/scrub
rosa-canina-seed-oil,634,0.82,['emollient'],emollient
lanolin,630,0.82,"['emollient', 'emulsifying', 'surfactant/cleansing']",emollient
citrullus-lanatus-fruit-extract,627,0.81,['antioxidant'],antioxidant
sucrose-stearate,623,0.81,"['emollient', 'emulsifying', 'surfactant/cleansing']",emollient
peg-12-dimethicone,623,0.81,[''],
rosmarinus-officinalis-extract,622,0.81,['antimicrobial/antibacterial'],antimicrobial/antibacterial
pyridoxine-hcl,622,0.81,[''],
alpha-glucan-oligosaccharide,622,0.81,[''],
malic-acid,620,0.81,"['exfoliant', 'buffering']",exfoliant
polyglyceryl-3-diisostearate,617,0.8,['emulsifying'],emulsifying
hydrolyzed-rice-protein,615,0.8,[''],
edta,614,0.8,['chelating'],chelating
bis-diglyceryl-polyacyladipate-2,613,0.8,['emollient'],emollient
citrus-paradisi-fruit-extract,610,0.79,[''],
polyvinyl-alcohol,609,0.79,['viscosity controlling'],viscosity controlling
cocamidopropyl-hydroxysultaine,609,0.79,"['surfactant/cleansing', 'viscosity controlling']",surfactant/cleansing
melissa-officinalis-leaf-extract,606,0.79,[''],
myristyl-alcohol,605,0.79,"['emollient', 'viscosity controlling']",emollient
peg-120-methyl-glucose-dioleate,605,0.79,['emulsifying'],emulsifying
hydrogenated-palm-glycerides-citrate,605,0.79,['emollient'],emollient
copper-gluconate,602,0.78,['soothing'],soothing
phytosterols,600,0.78,[''],
polyglycerin-3,599,0.78,['moisturizer/humectant'],moisturizer/humectant
lavandula-angustifolia-flower-extract,597,0.78,['surfactant/cleansing'],surfactant/cleansing
polyglutamic-acid,597,0.78,['moisturizer/humectant'],moisturizer/humectant
polyglyceryl-4-isostearate,597,0.78,['emulsifying'],emulsifying
fucus-vesiculosus-extract,595,0.77,"['emollient', 'soothing']",emollient
punica-granatum-seed-oil,592,0.77,"['antioxidant', 'emollient']",antioxidant
sclerocarya-birrea-seed-oil,591,0.77,['emollient'],emollient
sodium-stearoyl-lactylate,589,0.76,['emulsifying'],emulsifying
camellia-oleifera-seed-oil,588,0.76,['emollient'],emollient
magnesium-aspartate,588,0.76,[''],
c14-22-alcohols,588,0.76,[''],
ammonium-polyacryloyldimethyl-taurate,587,0.76,['viscosity controlling'],viscosity controlling
neopentyl-glycol-diheptanoate,586,0.76,['emollient'],emollient
pca,586,0.76,"['skin-identical ingredient', 'moisturizer/humectant']",skin-identical ingredient
citrus-nobilis-peel-oil,585,0.76,['perfuming'],perfuming
hdi-trimethylol-hexyllactone-crosspolymer,585,0.76,[''],
synthetic-wax,583,0.76,"['emollient', 'viscosity controlling']",emollient
bifida-ferment-lysate,582,0.76,[''],
centella-asiatica-leaf-extract,581,0.75,"['soothing', 'antioxidant', 'moisturizer/humectant']",soothing
carnosine,578,0.75,"['antioxidant', 'cell-communicating ingredient']",antioxidant
dimethyl-isosorbide,574,0.75,"['solvent', 'viscosity controlling']",solvent
citrus-paradisi-peel-oil,573,0.74,['perfuming'],perfuming
polyglyceryl-4-caprate,572,0.74,['emulsifying'],emulsifying
lycium-barbarum-fruit-extract,570,0.74,[''],
camellia-japonica-seed-oil,570,0.74,['emollient'],emollient
butylene-glycol-dicaprylate-dicaprate,568,0.74,['emollient'],emollient
daucus-carota-sativa-seed-oil,567,0.74,['emollient'],emollient
polyglyceryl-2-dipolyhydroxystearate,566,0.74,[''],
polyglyceryl-10-myristate,563,0.73,[''],
c12-20-alkyl-glucoside,561,0.73,"['emulsifying', 'surfactant/cleansing']",emulsifying
mentha-piperita-leaf-extract,560,0.73,[''],
vitis-vinifera-fruit-extract,558,0.72,"['soothing', 'antioxidant', 'moisturizer/humectant']",soothing
rosa-canina-fruit-extract,558,0.72,[''],
cetyl-esters,558,0.72,['emollient'],emollient
ceteth-20,556,0.72,"['surfactant/cleansing', 'emulsifying', 'surfactant/cleansing']",surfactant/cleansing
nelumbo-nucifera-flower-extract,553,0.72,[''],
chamomilla-recutita-extract,553,0.72,[''],
helianthus-annuus-seed-wax,552,0.72,['emollient'],emollient
peg-6-caprylic-capric-glycerides,551,0.72,"['emulsifying', 'surfactant/cleansing']",emulsifying
capryloyl-glycine,551,0.72,['surfactant/cleansing'],surfactant/cleansing
sodium-sulfate,551,0.72,['viscosity controlling'],viscosity controlling
ozokerite,549,0.71,['viscosity controlling'],viscosity controlling
potassium-chloride,547,0.71,['viscosity controlling'],viscosity controlling
hexyl-laurate,547,0.71,['emollient'],emollient
d-limonene,541,0.7,['perfuming'],perfuming
hippophae-rhamnoides-fruit-extract,540,0.7,[''],
polybutene,538,0.7,['viscosity controlling'],viscosity controlling
phenylpropanol,536,0.7,"['perfuming', 'solvent']",perfuming
hydroxypropyl-starch-phosphate,535,0.69,['viscosity controlling'],viscosity controlling
disodium-cocoyl-glutamate,535,0.69,['surfactant/cleansing'],surfactant/cleansing
dimethyl-sulfone,534,0.69,[''],
vaccinium-macrocarpon-fruit-extract,532,0.69,[''],
ficus-carica-fruit-extract,532,0.69,['moisturizer/humectant'],moisturizer/humectant
sodium-phosphate,531,0.69,['buffering'],buffering
snail-secretion-filtrate,531,0.69,"['antioxidant', 'moisturizer/humectant']",antioxidant
canola-oil,531,0.69,['emollient'],emollient
o-cymen-5-ol,531,0.69,"['preservative', 'antimicrobial/antibacterial']",preservative
pentaerythrityl-tetraisostearate,530,0.69,"['emollient', 'emulsifying', 'surfactant/cleansing']",emollient
hydrogen-dimethicone,530,0.69,[''],
polyglyceryl-10-stearate,526,0.68,['emulsifying'],emulsifying
menthyl-lactate,524,0.68,[''],
arctium-lappa-root-extract,520,0.68,"['antioxidant', 'soothing']",antioxidant
althaea-officinalis-root-extract,520,0.68,[''],
stearamidopropyl-dimethylamine,520,0.68,"['emulsifying', 'surfactant/cleansing']",emulsifying
hydrogenated-poly-c6-14-olefin,515,0.67,"['emollient', 'viscosity controlling']",emollient
sodium-carbomer,513,0.67,['viscosity controlling'],viscosity controlling
ci-77163,512,0.66,['colorant'],colorant
dextran,512,0.66,['viscosity controlling'],viscosity controlling
hydroxypropyltrimonium-hyaluronate,507,0.66,[''],
glycol-stearate,507,0.66,"['emollient', 'emulsifying', 'surfactant/cleansing']",emollient
hydrogenated-coco-glycerides,507,0.66,['emollient'],emollient
bakuchiol,505,0.66,"['cell-communicating ingredient', 'antioxidant', 'antimicrobial/antibacterial']",cell-communicating ingredient
vp-hexadecene-copolymer,500,0.65,['viscosity controlling'],viscosity controlling
ci-75470,500,0.65,['colorant'],colorant
leucine,499,0.65,[''],
oleic-acid,499,0.65,"['emollient', 'emulsifying']",emollient
ectoin,499,0.65,"['antioxidant', 'soothing']",antioxidant
calcium-pantothenate,498,0.65,[''],
illicium-verum-fruit-extract,497,0.65,['perfuming'],perfuming
ci-45410,497,0.65,['colorant'],colorant
lavandula-hybrida-oil,496,0.64,['emollient'],emollient
citrus-aurantium-amara-flower-oil,494,0.64,[''],
gold,494,0.64,['colorant'],colorant
candelilla-cera,494,0.64,['emollient'],emollient
laminaria-japonica-extract,493,0.64,[''],
lactobacillus-soybean-ferment-extract,492,0.64,[''],
glyceryl-polyacrylate,491,0.64,[''],
lysolecithin,488,0.63,['emulsifying'],emulsifying
inulin,488,0.63,[''],
zinc-stearate,488,0.63,"['colorant', 'viscosity controlling']",colorant
mandelic-acid,487,0.63,"['exfoliant', 'antimicrobial/antibacterial']",exfoliant
glyceryl-behenate,487,0.63,"['emollient', 'emulsifying']",emollient
theobroma-cacao-extract,486,0.63,[''],
methyl-trimethicone,486,0.63,['solvent'],solvent
c10-18-triglycerides,486,0.63,"['emollient', 'solvent']",emollient
diethylhexyl-butamido-triazone,485,0.63,['sunscreen'],sunscreen
plankton-extract,484,0.63,[''],
cetearyl-isononanoate,484,0.63,['emollient'],emollient
alpha-arbutin,482,0.63,"['antioxidant', 'skin brightening']",antioxidant
sodium-lauroyl-methyl-isethionate,481,0.62,['surfactant/cleansing'],surfactant/cleansing
ananas-sativus-fruit-extract,480,0.62,"['soothing', 'moisturizer/humectant']",soothing
undaria-pinnatifida-extract,479,0.62,[''],
elaeis-guineensis-oil,477,0.62,['emollient'],emollient
resveratrol,476,0.62,['antioxidant'],antioxidant
potassium-phosphate,474,0.62,['buffering'],buffering
peg-32,474,0.62,"['moisturizer/humectant', 'solvent']",moisturizer/humectant
glycine-soja-sterols,473,0.61,['emollient'],emollient
tyrosine,471,0.61,[''],
